name,platform,course_url,skill_level,learning_mode,language,duration,rating,is_course_free,price,certificate_available
Python Programming,Udemy,https://www.udemy.com/course/complete-python-bootcamp/,beginner,video,english,22 hours,4.6,False,3199,True
Python Programming,Udemy,https://www.udemy.com/course/learn-advanced-level-programming-in-python/,advanced,video,english,22 hours,4.6,False,2619,True
Python Programming,Udemy,https://www.udemy.com/course/python-pro-bootcamp-zero-to-hero/,beginner,video,hindi,39 hours,4.4,False,3219,True
Python Programming,Udemy,https://www.udemy.com/course/python-learn-by-developing-real-world-application-in-hindi/,beginner,video,hindi,98 hours,4.3,False,799,True
Python Programming,Udemy,https://www.udemy.com/course/advanced-python-programming-tutorial-hindi/,advanced,video,hindi,21.5 hours,3.9,False,2549,True
Python Programming,NPTEL,https://nptel.ac.in/courses/106106182,beginner,video,english,12 weeks,,True,0,True
Python Programming,YouTube,https://www.youtube.com/watch?v=6i3EGqOBRiU&list=PLdo5W4Nhv31bZSiqiOL5ta39vSnBxpOPT,beginner,video,english,126 videos,,True,0,False
Python Programming,YouTube,https://www.youtube.com/watch?v=6i3EGqOBRiU&list=PLdo5W4Nhv31bZSiqiOL5ta39vSnBxpOPT,advanced,video,hindi,9 videos,,True,0,False
Python Programming,YouTube,https://www.youtube.com/watch?v=QLTdOEn79Rc&list=PLqnslRFeH2UqLwzS0AwKDKLrpYBKzLBy2,advanced,video,english,9 videos,,True,0,False
Python Programming,YouTube,https://www.youtube.com/watch?v=QXeEoD0pB3E&list=PLsyeobzWxl7poL9JTVyndKe62ieoN-MZ3,beginner,video,english,126 videos,,True,0,False
Python Programming,Coursera,https://www.coursera.org/specializations/python,beginner,video,english,80 hours,4.8,True,0,True
Python Programming,W3Schools,https://www.w3schools.com/python/default.asp,beginner,text,english,,,True,0,True
C Programming,Udemy,https://www.udemy.com/course/c-programming-for-beginners-/,beginner,video,english,25.5 hours,4.6,False,3439,True
C Programming,Udemy,https://www.udemy.com/course/c-programming-pointers-from-zero-to-hero/,advanced,video,english,41 hours,4.5,False,3419,True
C Programming,Udemy,https://www.udemy.com/course/c-programming-course-for-students-in-hindi-2022/,beginner,video,hindi,29.5 hours,4.5,False,2829,True
C Programming,Udemy,https://www.udemy.com/course/c-programming-deep-dive/,beginner,video,hindi,44 hours,5,False,799,True
C Programming,YouTube,https://www.youtube.com/watch?v=irqbmMNs2Bo,beginner,video,hindi,10.5 hours,,True,0,False
C Programming,YouTube,https://www.youtube.com/watch?v=_MF8L7ZxwRE,beginner,video,english,11 hours,,True,0,False
C Programming,YouTube,https://www.youtube.com/watch?v=EjavYOFoJJ0&list=PLdo5W4Nhv31a8UcMN9-35ghv8qyFWD9_S,beginner,video,english,150 videos,,True,0,False
C Programming,YouTube,https://www.youtube.com/watch?v=7Rb3ZJetvA8&list=PL7CZ_Xc0qgmJFqNWEt4LIhAPTlT0sCW4C,advanced,video,english,15 videos,,True,0,False
C Programming,W3Schools,https://www.w3schools.com/c/index.php,beginner,text,english,,,True,0,True
C++ Programming,Udemy,https://www.udemy.com/course/beginning-c-plus-plus-programming/,beginner,video,english,46 hours,4.6,False,609,True
C++ Programming,Udemy,https://www.udemy.com/course/cpp-deep-dive/,beginner,video,english,30.5 hours,4.6,False,609,True
C++ Programming,Udemy,https://www.udemy.com/course/the-complete-cpp-developer-course/,beginner,video,english,43.5 hours,4.7,False,609,True
C++ Programming,Udemy,https://www.udemy.com/course/learn-intermediate-modern-c/,advanced,video,english,24 hours,4.6,False,609,True
C++ Programming,Udemy,https://www.udemy.com/course/mastering-cplusplus-prateek-narang-hindi/,beginner,video,hindi,13 hours,4.4,False,699,True
C++ Programming,Udemy,https://www.udemy.com/course/learning-c-all-essentials-for-students-and-learners-hindi/,beginner,video,hindi,37 hours,4.1,False,579,True
C++ Programming,NPTEL,https://nptel.ac.in/courses/106105151,beginner,video,english,8 weeks,,True,0,True
C++ Programming,NPTEL,https://nptel.ac.in/courses/106101208,beginner,video,english,12 weeks,,True,0,True
C++ Programming,NPTEL,https://nptel.ac.in/courses/106105234,beginner,video,english,12 weeks,,True,0,True
C++ Programming,YouTube,https://www.youtube.com/watch?v=vLnPwxZdW4Y,beginner,video,english,4 hours,,True,0,False
C++ Programming,YouTube,https://www.youtube.com/watch?v=-TkoO8Z07hI,beginner,video,english,6 hours,,True,0,False
C++ Programming,YouTube,https://www.youtube.com/watch?v=8jLOx1hD3_o,advanced,video,english,31 hours,,True,0,False
C++ Programming,YouTube,https://www.youtube.com/watch?v=Cyha_W_gPdg&list=PLf0LpPWikpPcNC9gaZVn3fygr1lAiN1Ih,beginner,video,hindi,46 videos,,True,0,False
C++ Programming,YouTube,https://www.youtube.com/watch?v=05LLyH15ZWU&list=PLxCzCOWd7aiF6yRNI5OHQsnUJQfl7Geqj,advanced,video,hindi,59 videos,,True,0,False
C++ Programming,W3Schools,https://www.w3schools.com/cpp/default.asp,beginner,text,english,,,True,0,True
Java Programming,Udemy,https://www.udemy.com/course/java-se-programming/,beginner,video,english,61.5 hours,4.6,False,609,True
Java Programming,Udemy,https://www.udemy.com/course/java-programming-tutorial-for-beginners/,beginner,video,english,60.5 hours,4.5,False,629,True
Java Programming,Udemy,https://www.udemy.com/course/java-in-depth-become-a-complete-java-engineer/,advanced,video,english,83.5 hours,4.5,False,919,True
Java Programming,Udemy,https://www.udemy.com/course/core-java-training-for-complete-beginners-in-hindi/,beginner,video,hindi,40 hours,4.4,False,559,True
Java Programming,NPTEL,https://nptel.ac.in/courses/106105191,beginner,video,english,12 weeks,,True,0,True
Java Programming OOPS,NPTEL,https://nptel.ac.in/courses/106105224,beginner,video,english,12 weeks,,True,0,True
Java Programming,YouTube,https://www.youtube.com/watch?v=eIrMbAQSU34,beginner,video,english,2.3 hours,,True,0,False
Java Programming,YouTube,https://www.youtube.com/watch?v=BGTx91t8q50,beginner,video,english,12 hours,,True,0,False
Java Programming,YouTube,https://www.youtube.com/watch?v=4XTsAAHW_Tc,advanced,video,english,48 hours,,True,0,False
Java Programming,YouTube,https://www.youtube.com/watch?v=Ae-r8hsbPUo,advanced,video,english,5 hours,,True,0,False
Java Programming,YouTube,https://www.youtube.com/watch?v=yRpLlJmRo2w&list=PLfqMhTWNBTe3LtFWcvwpqTkUSlB32kJop,beginner,video,hindi,39 videos,,True,0,False
Java Programming,YouTube,https://www.youtube.com/watch?v=ntLJmHOJ0ME&list=PLu0W_9lII9agS67Uits0UnJyrYiXhDS6q,beginner,video,hindi,113 videos,,True,0,False
Java Programming,W3Schools,https://www.w3schools.com/java/default.asp,beginner,text,english,,,True,0,True
Web Development,Udemy,https://www.udemy.com/course/the-complete-web-development-bootcamp/,beginner,video,english,61 hours,4.7,False,569,True
Web Development,Udemy,https://www.udemy.com/course/the-web-developer-bootcamp/,beginner,video,english,73.5 hours,4.7,False,569,True
Web Development,Udemy,https://www.udemy.com/course/web-dev-master/,beginner,video,english,100 hours,4.6,False,569,True
Web Development,Udemy,https://www.udemy.com/course/the-complete-front-end-web-development-course-in-hindi/,beginner,video,hindi,59.5 hours,4.,False,569,True
Web Development,YouTube,https://www.youtube.com/watch?v=tVzUXW6siu0&list=PLu0W_9lII9agq5TrH9XLIKQvv0iaF2X3w,beginner,video,hindi,139 videos,,True,0,False
Web Development,YouTube,https://www.youtube.com/watch?v=nu_pCVPKzTk,beginner,video,hindi,7.5 hours,,True,0,False
Web Development,YouTube,https://www.youtube.com/watch?v=l1EssrLxt7E&list=PLfqMhTWNBTe3H6c9OGXb5_6wcc1Mca52n,beginner,video,english,58 videos,,True,0,False
Web Development,W3Schools,https://www.w3schools.com/html/default.asp,beginner,text,english,,,True,0,True
SQL,Udemy,https://www.udemy.com/course/the-complete-sql-bootcamp-30-hours-go-from-zero-to-hero/,beginner,video,english,61 hours,4.7,False,569,True
SQL,Udemy,https://www.udemy.com/course/the-complete-sql-bootcamp/,beginner,video,english,9 hours,4.7,False,619,True
SQL,Udemy,https://www.udemy.com/course/sql-in-hindi/,beginner,video,hindi,7 hours,4.2,False,649,True
SQL,YouTube,https://www.youtube.com/watch?v=HXV3zeQKqGY,beginner,video,english,4.5 hours,,True,0,False
SQL,YouTube,https://www.youtube.com/watch?v=hlGoQC332VM,beginner,video,hindi,3.5 hours,,True,0,False
SQL,W3Schools,https://www.w3schools.com/sql/default.asp,beginner,text,english,,,True,0,True
